Varies per block?       ,1,Unit,MW,1,2006
Varies per sequence?    ,1
# of agents             ,4
Stag,Seq.,Blck,Element 1,Element 2,Element 3,Element 4
1,1,1,0.9931130987864598,0.3409274957975903,0.585037213585129,0.3242056539433622
1,1,2,0.037575927414807975,0.1642477632256727,0.02276248271317116,0.7473827581469745
1,1,3,0.7729457326692557,0.9717156548260295,0.14663685096025847,0.9990684292693
1,2,1,0.4185137814350326,0.6523754054828923,0.8899554774331195,0.7647873023121026
1,2,2,0.9598345603497276,0.3515033965629084,0.0026579733961316077,0.4463056280809019
1,2,3,0.8246786596789006,0.9939916608597303,0.187479085273341,0.9989740933010978
1,3,1,0.9088095677692636,0.7792942412013719,0.6116381381389684,0.2307519738399213
1,3,2,0.7024997930990957,0.6507579241933983,0.9322556177197465,0.3625694296433566
1,3,3,0.6675344730608181,0.10743428792987397,0.1904890595834825,0.26094901747843346
1,4,1,0.528391032792533,0.18169006771491425,0.795700690114111,0.24059734068338412
1,4,2,0.832833918613205,0.04891203082810658,0.3105703822708872,0.07429705082475135
1,4,3,0.04018037322033319,0.5939521361185753,0.2879427784923878,0.15492732447296564
1,5,1,0.0012737286495017042,0.6027542418165577,0.6252837167769274,0.14459836517122504
1,5,2,0.187007601819958,0.18136302414479455,0.2545698447791591,0.25207972849365756
1,5,3,0.13306181401356754,0.011194443533378617,0.9161220463788917,0.2527565326336567
1,6,1,0.8072814710465839,0.4474266525184587,0.40149229869063374,0.8920811686337726
1,6,2,0.7128659592311066,0.09956266494866806,0.346229854807371,0.5578543719620355
1,6,3,0.552413123889157,0.17472634029869205,0.9989626941812813,0.14164443665010795
1,7,1,0.39810110774371976,0.5232767008344346,0.09509357775167837,0.6298935372518559
1,7,2,0.4502035164264815,0.7770634793556312,0.1075319756853208,0.5028366822525157
1,7,3,0.17161360535587145,0.12244810616443069,0.8286040852092571,0.6253961772054226
1,8,1,0.1449590101252345,0.12863120831077457,0.7814441586924843,0.44082230182355064
1,8,2,0.7461304887499216,0.43215444839296313,0.4682419436341436,0.5198772317958644
1,8,3,0.6890911201435146,0.009059517611733625,0.3819879817760934,0.18751697473356344
1,9,1,0.5681344102373971,0.34337043832880454,0.7120029108726322,0.8958068970434634
1,9,2,0.8400431656772716,0.248461633081708,0.10299544716535802,0.38462037716928443
